% lon        lat           depth(km)    x(km)   y(km)        dx              dy              slip(m)     rake             dip          strike      timerup(s)    rise(s)
13.1652842 42.8062286 -5.65839 5.0000000e-01 -5.5000000e+00 5.0000000e+02 5.0000000e+02 1.2975872e+00 -2.6265479e+01 3.6000000e+01 2.1000000e+02 9.4426287e-01 3.6000000e+00
13.1609898 42.8080482 -5.95228 5.0000000e-01 -6.0000000e+00 5.0000000e+02 5.0000000e+02 1.1210821e+00 -2.7332415e+01 3.6000000e+01 2.1000000e+02 7.6353808e-01 3.6000000e+00
13.1566944 42.8098679 -6.24617 5.0000000e-01 -6.5000000e+00 5.0000000e+02 5.0000000e+02 9.0291278e-01 -2.9511776e+01 3.6000000e+01 2.1000000e+02 5.8560697e-01 3.6000000e+00
13.1524000 42.8116875 -6.54007 5.0000000e-01 -7.0000000e+00 5.0000000e+02 5.0000000e+02 6.6499170e-01 -3.3353556e+01 3.6000000e+01 2.1000000e+02 4.1408666e-01 3.6000000e+00
13.1481047 42.8135071 -6.83396 5.0000000e-01 -7.5000000e+00 5.0000000e+02 5.0000000e+02 4.4589342e-01 -3.9756566e+01 3.6000000e+01 2.1000000e+02 2.6189140e-01 3.6000000e+00
13.1438093 42.8153267 -7.12785 5.0000000e-01 -8.0000000e+00 5.0000000e+02 5.0000000e+02 2.8419249e-01 -4.8201155e+01 3.6000000e+01 2.1000000e+02 1.8518519e-01 3.6000000e+00
13.1395149 42.8171463 -7.42174 5.0000000e-01 -8.5000000e+00 5.0000000e+02 5.0000000e+02 1.9869077e-01 -5.0374045e+01 3.6000000e+01 2.1000000e+02 2.6189140e-01 3.6000000e+00
13.1352196 42.8189659 -7.71564 5.0000000e-01 -9.0000000e+00 5.0000000e+02 5.0000000e+02 1.6597673e-01 -3.8720134e+01 3.6000000e+01 2.1000000e+02 4.1408666e-01 3.6000000e+00
13.1309252 42.8207855 -8.00953 5.0000000e-01 -9.5000000e+00 5.0000000e+02 5.0000000e+02 1.6130482e-01 -2.0293696e+01 3.6000000e+01 2.1000000e+02 5.8560697e-01 3.6000000e+00
13.1266298 42.8226051 -8.30342 5.0000000e-01 -1.0000000e+01 5.0000000e+02 5.0000000e+02 1.5992945e-01 -1.0000000e+01 3.6000000e+01 2.1000000e+02 7.6353808e-01 3.6000000e+00
